Date,Close
2/8/2010,4538.799805
2/9/2010,4520.700195
2/10/2010,4533
2/11/2010,4575.799805
2/12/2010,4588.799805
2/15/2010,4570.399902
2/16/2010,4590.799805
2/17/2010,4686.799805
2/18/2010,4673.899902
2/19/2010,4656.299805
2/22/2010,4732.700195
2/23/2010,4731
2/24/2010,4666
2/25/2010,4614.899902
2/26/2010,4651.100098
3/1/2010,4694.899902
3/2/2010,4709.899902
3/3/2010,4743.799805
3/4/2010,4757.600098
3/5/2010,4773.399902
3/8/2010,4819.600098
3/9/2010,4829.299805
3/10/2010,4829.799805
3/11/2010,4825.5
3/12/2010,4831.5
3/15/2010,4799.399902
3/16/2010,4809.100098
3/17/2010,4866.899902
3/18/2010,4877.700195
3/19/2010,4890.100098
3/22/2010,4847.5
3/23/2010,4887.899902
3/24/2010,4903.200195
3/25/2010,4896.299805
3/26/2010,4905.200195
3/29/2010,4907.200195
3/30/2010,4926.799805
3/31/2010,4893.100098
4/1/2010,4925.899902
4/6/2010,4974.100098
4/7/2010,4983.200195
4/8/2010,4960.299805
4/9/2010,4972.899902
4/12/2010,5011.600098
4/13/2010,4978.399902
4/14/2010,5017.899902
4/15/2010,5024.100098
4/16/2010,5007.299805
4/19/2010,4939.399902
4/20/2010,4949.5
4/21/2010,4980.5
4/22/2010,4936.799805
4/23/2010,4913.5
4/27/2010,4913.299805
4/28/2010,4854.200195
4/29/2010,4816.100098
4/30/2010,4833.899902
5/3/2010,4807.100098
5/4/2010,4753.299805
5/5/2010,4692
5/6/2010,4598.600098
5/7/2010,4507.399902
5/10/2010,4622.200195
5/11/2010,4573.200195
5/12/2010,4599.700195
5/13/2010,4679.5
5/14/2010,4643
5/17/2010,4500.700195
5/18/2010,4500
5/19/2010,4414.299805
5/20/2010,4342.399902
5/21/2010,4325.799805
5/24/2010,4412.799805
5/25/2010,4286.299805
5/26/2010,4330.399902
5/27/2010,4399.100098
5/28/2010,4479
5/31/2010,4453.600098
6/1/2010,4436.700195
6/2/2010,4403.700195
6/3/2010,4506.299805
