Date,Close,,
2/8/2010,4538.799805,3.93E+03,4.40E+03
2/9/2010,4520.700195,3.93E+03,4.40E+03
2/10/2010,4533,3.93E+03,4.40E+03
2/11/2010,4575.799805,3.93E+03,4.40E+03
2/12/2010,4588.799805,3.93E+03,4.40E+03
2/15/2010,4570.399902,3.93E+03,4.40E+03
2/16/2010,4590.799805,3.93E+03,4.40E+03
2/17/2010,4686.799805,3.93E+03,4.40E+03
2/18/2010,4673.899902,3.93E+03,4.40E+03
2/19/2010,4656.299805,3.93E+03,4.40E+03
2/22/2010,4732.700195,3.93E+03,4.40E+03
2/23/2010,4731,3.93E+03,4.40E+03
2/24/2010,4666,3.93E+03,4.40E+03
2/25/2010,4614.899902,3.93E+03,4.40E+03
2/26/2010,4651.100098,3.93E+03,4.40E+03
3/1/2010,4694.899902,3.93E+03,4.40E+03
3/2/2010,4709.899902,3.93E+03,4.40E+03
3/3/2010,4743.799805,3.93E+03,4.40E+03
3/4/2010,4757.600098,3.93E+03,4.41E+03
3/5/2010,4773.399902,3.93E+03,4.41E+03
3/8/2010,4819.600098,3.93E+03,4.41E+03
3/9/2010,4829.299805,3.93E+03,4.41E+03
3/10/2010,4829.799805,3.93E+03,4.41E+03
3/11/2010,4825.5,3.93E+03,4.41E+03
3/12/2010,4831.5,3.93E+03,4.41E+03
3/15/2010,4799.399902,3.93E+03,4.41E+03
3/16/2010,4809.100098,3.93E+03,4.41E+03
3/17/2010,4866.899902,3.93E+03,4.41E+03
3/18/2010,4877.700195,3.93E+03,4.41E+03
3/19/2010,4890.100098,3.93E+03,4.41E+03
3/22/2010,4847.5,3.93E+03,4.41E+03
3/23/2010,4887.899902,3.93E+03,4.41E+03
3/24/2010,4903.200195,3.93E+03,4.41E+03
3/25/2010,4896.299805,3.93E+03,4.41E+03
3/26/2010,4905.200195,3.93E+03,4.41E+03
3/29/2010,4907.200195,3.93E+03,4.41E+03
3/30/2010,4926.799805,3.93E+03,4.41E+03
3/31/2010,4893.100098,3.93E+03,4.41E+03
4/1/2010,4925.899902,3.93E+03,4.41E+03
4/6/2010,4974.100098,3.93E+03,4.41E+03
4/7/2010,4983.200195,3.93E+03,4.41E+03
4/8/2010,4960.299805,3.93E+03,4.41E+03
4/9/2010,4972.899902,3.93E+03,4.41E+03
4/12/2010,5011.600098,3.93E+03,4.41E+03
4/13/2010,4978.399902,3.93E+03,4.41E+03
4/14/2010,5017.899902,3.93E+03,4.41E+03
4/15/2010,5024.100098,3.93E+03,4.41E+03
4/16/2010,5007.299805,3.93E+03,4.41E+03
4/19/2010,4939.399902,3.93E+03,4.41E+03
4/20/2010,4949.5,3.93E+03,4.41E+03
4/21/2010,4980.5,3.93E+03,4.41E+03
4/22/2010,4936.799805,3.93E+03,4.41E+03
4/23/2010,4913.5,3.93E+03,4.41E+03
4/27/2010,4913.299805,3.93E+03,4.41E+03
4/28/2010,4854.200195,3.93E+03,4.41E+03
4/29/2010,4816.100098,3.93E+03,4.41E+03
4/30/2010,4833.899902,3.93E+03,4.41E+03
5/3/2010,4807.100098,3.93E+03,4.41E+03
5/4/2010,4753.299805,3.93E+03,4.41E+03
5/5/2010,4692,3.93E+03,4.41E+03
5/6/2010,4598.600098,3.93E+03,4.41E+03
5/7/2010,4507.399902,3.93E+03,4.41E+03
5/10/2010,4622.200195,3.93E+03,4.41E+03
5/11/2010,4573.200195,3.93E+03,4.41E+03
5/12/2010,4599.700195,3.93E+03,4.41E+03
5/13/2010,4679.5,3.93E+03,4.41E+03
